seed,sample_size,instruments,null_kind,positive_rate,model,roc_auc,pr_auc,brier,log_loss,accuracy,balanced_accuracy,calibration_error,baseline_roc_auc,baseline_pr_auc,baseline_brier,baseline_log_loss,brier_improvement,log_loss_improvement
752,195,5,IID,0.48717948717948717,regularized_logistic,0.5551578947368421,0.5212652114353422,0.24982587529141367,0.6927988882457371,0.5128205128205128,0.5,0.002817840047174003,0.5,0.48717948717948717,0.25090061453697815,0.6949591261109602,0.0010747392455644766,0.0021602378652231247
753,195,5,IID,0.5128205128205128,regularized_logistic,0.4996842105263158,0.5001038566748843,0.24987207024912017,0.6928914727263371,0.5128205128205128,0.5,0.002330197928964828,0.5,0.5128205128205128,0.24983581407322955,0.6928187729015999,-3.625617589061991e-05,-7.269982473723235e-05
754,195,5,IID,0.5128205128205128,regularized_logistic,0.5289473684210527,0.5358502603456256,0.2498680142781499,0.6928832037534283,0.5384615384615384,0.5384210526315789,0.03601944884259671,0.5,0.5128205128205128,0.25012302998779334,0.6933932465266147,0.00025501570964345244,0.0005100427731864476
755,195,5,IID,0.517948717948718,regularized_logistic,0.4337476300821571,0.4727034860491262,0.24993881907732118,0.6930251663174944,0.517948717948718,0.5,0.0031466192904090473,0.5,0.517948717948718,0.24991714521391462,0.6929814696799558,-2.1673863406568294e-05,-4.369663753867048e-05
756,195,5,IID,0.4666666666666667,regularized_logistic,0.5283178360101437,0.4903881067418806,0.24910557896633911,0.6913577037159869,0.5333333333333333,0.5,0.01835089398536932,0.5,0.4666666666666667,0.2518042938779227,0.6967580676559354,0.0026987149115835773,0.0054003639399484715
757,195,5,IID,0.49230769230769234,regularized_logistic,0.4689604377104377,0.47732547013050336,0.25022405728419966,0.6935953477892353,0.49743589743589745,0.5050505050505051,0.012825388074449339,0.5,0.49230769230769234,0.24994089306636266,0.6930289620531422,-0.00028316421783700085,-0.0005663857360930225
758,195,5,IID,0.5538461538461539,regularized_logistic,0.5127713920817369,0.5912322543391189,0.24812842954557046,0.6894015272971388,0.5538461538461539,0.5,0.03415268799978188,0.5,0.5538461538461539,0.25631561526377455,0.7058126908633899,0.008187185718204093,0.016411163566251163
759,195,5,IID,0.5025641025641026,regularized_logistic,0.4691773616663161,0.47407957748081064,0.2522635417518033,0.6976921350752433,0.49743589743589745,0.5,0.04760118099171151,0.5,0.5025641025641026,0.2506123478324831,0.6943730213490528,-0.0016511939193202263,-0.003319113726190537
760,195,5,IID,0.48205128205128206,regularized_logistic,0.4716663155677269,0.4838881756079413,0.24988757028953504,0.6929223208442609,0.517948717948718,0.5,0.012758011667088565,0.5,0.48205128205128206,0.25032232981143576,0.6937918918244702,0.00043475952190072387,0.0008695709802093443
761,195,5,IID,0.5076923076923077,regularized_logistic,0.4565446127946128,0.5108682592388916,0.2504544911180078,0.6940564889776125,0.49230769230769234,0.5,0.0180426808199437,0.5,0.5076923076923077,0.25026222462736364,0.6936726651684768,-0.00019226649064418844,-0.00038382380913570824
762,195,5,IID,0.517948717948718,regularized_logistic,0.49557615336001687,0.5123152802991795,0.2520267727294529,0.6972070412227668,0.48205128205128206,0.5,0.047924263783585774,0.5,0.517948717948718,0.2504089849544394,0.6939652497303869,-0.0016177877750134795,-0.0032417914923799085
763,195,5,IID,0.48205128205128206,regularized_logistic,0.5452917632188751,0.5468970481563814,0.25007336328972196,0.6932938868859634,0.48205128205128206,0.5,0.022666920155289094,0.5,0.48205128205128206,0.2508102466028837,0.6947682879548662,0.0007368833131617403,0.001474401068902842
764,195,5,IID,0.5641025641025641,regularized_logistic,0.43775401069518716,0.5269925988909121,0.2628260174446336,0.7189761735782735,0.4358974358974359,0.5,0.12912246328872734,0.5,0.5641025641025641,0.2512481457936002,0.6956437563844273,-0.011577871651033356,-0.023332417193846156
765,195,5,IID,0.49230769230769234,regularized_logistic,0.4882154882154882,0.4917996160789788,0.2513856575754805,0.6959239584741606,0.49230769230769234,0.5,0.03758319138216126,0.5,0.49230769230769234,0.25022250476795926,0.6935922482517112,-0.0011631528075212172,-0.002331710222449379
766,195,5,IID,0.5128205128205128,regularized_logistic,0.4666315789473684,0.5095841040098446,0.2501736768384975,0.6934962620169376,0.5128205128205128,0.5,0.017040036043493245,0.5,0.5128205128205128,0.24991112068497492,0.6929694182714555,-0.00026255615352258066,-0.000526843745482064
767,195,5,IID,0.517948717948718,regularized_logistic,0.5033705498209394,0.5482564862372574,0.25509164337027845,0.7033948094952335,0.48205128205128206,0.5,0.07309878963040933,0.5,0.517948717948718,0.2505011042050862,0.6941495610302354,-0.004590539165192253,-0.00924524846499808
768,195,5,IID,0.48717948717948717,regularized_logistic,0.4663157894736842,0.4744674227561135,0.25141181930497863,0.6959925081933332,0.5128205128205128,0.5,0.025994012162885105,0.5,0.48717948717948717,0.2498646057173481,0.6928763760988766,-0.001547213587630547,-0.003116132094456603
769,195,5,IID,0.5025641025641026,regularized_logistic,0.5016831474857985,0.5343627177325354,0.2510374677552269,0.6952275793397619,0.5025641025641026,0.5,0.033273280332019706,0.5,0.5025641025641026,0.2501253417256423,0.6933979820030616,-0.0009121260295845701,-0.001829597336700295
770,195,5,IID,0.49743589743589745,regularized_logistic,0.4380391331790448,0.4586499972443297,0.2503938111785141,0.6939354404688656,0.5025641025641026,0.5,0.012564397483991352,0.5,0.49743589743589745,0.25032092875819395,0.6937896470871364,-7.28824203201639e-05,-0.00014579338172915346
771,195,5,IID,0.47692307692307695,regularized_logistic,0.5484925152856842,0.512884560905001,0.24933118190981798,0.6918086889891594,0.5230769230769231,0.5,0.003342517132328471,0.5,0.47692307692307695,0.2512386186315563,0.6956257865387399,0.0019074367217382926,0.0038170975495804838
772,195,5,IID,0.4717948717948718,regularized_logistic,0.47815533980582525,0.4809890350878797,0.24939709995848647,0.6919411096059954,0.5282051282051282,0.5,0.013170005265913554,0.5,0.4717948717948718,0.2499540629668354,0.6930553064105694,0.0005569630083489263,0.0011141968045740303
773,195,5,IID,0.47692307692307695,regularized_logistic,0.4987349778621125,0.4649494043291301,0.25016209640932985,0.693480064889398,0.5230769230769231,0.5,0.017945973187090125,0.5,0.47692307692307695,0.24966306420851866,0.6924732438156843,-0.0004990322008111836,-0.0010068210737136374
774,195,5,IID,0.5025641025641026,regularized_logistic,0.5137807700399748,0.5258417435422615,0.250396045474969,0.6939410326071046,0.5230769230769231,0.5251420155691142,0.027778140430587912,0.5,0.5025641025641026,0.24999588440610226,0.6931389495735193,-0.0004001610688667556,-0.0008020830335853102
775,195,5,IID,0.5025641025641026,regularized_logistic,0.5214601304439301,0.550507860485792,0.25078279148677407,0.6947149775449176,0.5025641025641026,0.5,0.03159147483447011,0.5,0.5025641025641026,0.2500049211995118,0.6931570229685541,-0.0007778702872622834,-0.0015579545763635405
776,195,5,IID,0.558974358974359,regularized_logistic,0.492105824621293,0.5685345318676607,0.24895810817938763,0.6910612610540057,0.5230769230769231,0.47647749093236613,0.04478112907781508,0.5,0.558974358974359,0.2495296839399018,0.6922065274121688,0.0005715757605141703,0.001145266358163144
777,195,5,IID,0.5230769230769231,regularized_logistic,0.4871389415981446,0.5382351663026812,0.25229556332167274,0.6977449749061725,0.47692307692307695,0.5,0.05311783169234813,0.5,0.5230769230769231,0.2507258331450668,0.6945991759168596,-0.0015697301766059435,-0.003145798989312887
778,195,5,IID,0.5128205128205128,regularized_logistic,0.5090526315789473,0.5258171470401654,0.25498149224632793,0.7031732734375412,0.48717948717948717,0.5,0.0724455393821955,0.5,0.5128205128205128,0.2499425743302528,0.6930323283294806,-0.005038917916075136,-0.010140945108060628
779,195,5,IID,0.5025641025641026,regularized_logistic,0.49347780349253095,0.5102290827933711,0.25013908598131174,0.693425474571439,0.5025641025641026,0.5003155901535872,0.00805439967410749,0.5,0.5025641025641026,0.2499934325629292,0.6931340456285304,-0.00014565341838254642,-0.000291428942908567
780,195,5,IID,0.517948717948718,regularized_logistic,0.48504318516958084,0.513283060306242,0.2499838314739594,0.6931165446523676,0.517948717948718,0.5,0.010334842109956499,0.5,0.517948717948718,0.25236450501664626,0.6978852141965893,0.0023806735426868675,0.004768669544221726
781,195,5,IID,0.5282051282051282,regularized_logistic,0.5180455888560574,0.5417743093683041,0.2493636524187664,0.6918741520305128,0.5282051282051282,0.5,0.013090378889999754,0.5,0.5282051282051282,0.2501460072609584,0.6934391975256794,0.0007823548421920234,0.0015650454951665616
782,195,5,IID,0.5230769230769231,regularized_logistic,0.4897744043854101,0.525959880426826,0.2496282666672256,0.6924046311926122,0.5230769230769231,0.5,0.012000009496515696,0.5,0.5230769230769231,0.25084583335522487,0.6948393446912807,0.001217566687999272,0.002434713498668528
783,195,5,IID,0.48205128205128206,regularized_logistic,0.4839898883505372,0.46525917321409904,0.2503928707128725,0.693938483477051,0.517948717948718,0.5,0.022407414392408176,0.5,0.48205128205128206,0.25070173502930837,0.6945510721536371,0.0003088643164358973,0.00061258867658609
784,195,5,IID,0.5333333333333333,regularized_logistic,0.5059171597633138,0.5270084215572769,0.2501059379974565,0.6933591581948418,0.5282051282051282,0.5288461538461539,0.03357823344742088,0.5,0.5333333333333333,0.24926075177014326,0.6916683467771984,-0.0008451862273132493,-0.0016908114176434896
785,195,5,IID,0.517948717948718,regularized_logistic,0.5404465978512746,0.559776310336035,0.2501178192934414,0.6933828258681317,0.48205128205128206,0.5,0.02308836543252979,0.5,0.517948717948718,0.24967896616281288,0.692504977564924,-0.0004388531306285248,-0.0008778483032076956
786,195,5,IID,0.4717948717948718,regularized_logistic,0.48343182777543264,0.46501400581886776,0.24973152095061477,0.6926174757893789,0.5282051282051282,0.5,0.02181277728235559,0.5,0.4717948717948718,0.2528570452837921,0.698870649582949,0.0031255243331773375,0.006253173793570044
787,195,5,IID,0.5333333333333333,regularized_logistic,0.5296914623837701,0.5903956737253626,0.2487665296294652,0.6906772736790823,0.5333333333333333,0.5,0.0017716230671360744,0.5,0.5333333333333333,0.24926075177014326,0.6916683467771984,0.0004942221406780689,0.0009910730981160798
788,195,5,IID,0.46153846153846156,regularized_logistic,0.4416931216931217,0.4309358778185329,0.25112666951546453,0.6954010124412587,0.46153846153846156,0.5,0.048833909097041994,0.5,0.46153846153846156,0.2487814514561322,0.6907087946629201,-0.002345218059332327,-0.004692217778338614
789,195,5,IID,0.49230769230769234,regularized_logistic,0.4748526936026936,0.4886522409333878,0.251307824565305,0.6957666258327155,0.49230769230769234,0.5,0.03219909539785171,0.5,0.49230769230769234,0.2511633820724729,0.6954769957820699,-0.00014444249283207533,-0.0002896300506456395
790,195,5,IID,0.441025641025641,regularized_logistic,0.49989332195434183,0.4553530571609652,0.24799957782989077,0.6891442510640159,0.558974358974359,0.5,0.03884782475483756,0.5,0.441025641025641,0.24935111970423776,0.6918493635466951,0.0013515418743469954,0.0027051124826792394
791,195,5,IID,0.49230769230769234,regularized_logistic,0.4862163299663299,0.4694187576244959,0.2525842640941689,0.6983360498957507,0.49230769230769234,0.5,0.04851586527885954,0.5,0.49230769230769234,0.2503242212333121,0.6937970066749158,-0.0022600428608567924,-0.004539043220834871
